epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,307.561,1.48863,1.57856,0.02332,0.79221,0.34078,0.32432,0.15921,1.87655,1.7801,0.0434,0.0011486,0.0011486,0.0011486
45,312.59,1.45195,1.53655,0.02271,0.6478,0.57542,0.49931,0.2399,1.71752,1.54417,0.03847,0.0011288,0.0011288,0.0011288
46,317.865,1.48077,1.49963,0.02272,0.66443,0.55307,0.45659,0.20291,1.8573,1.57625,0.04292,0.001109,0.001109,0.001109
47,323.024,1.45559,1.5233,0.02228,0.7619,0.53631,0.46201,0.20368,1.87585,1.42762,0.04275,0.0010892,0.0010892,0.0010892
48,328.14,1.40212,1.48602,0.02256,0.75532,0.39665,0.34781,0.1632,1.69928,1.509,0.03797,0.0010694,0.0010694,0.0010694
49,333.239,1.48785,1.50754,0.0242,0.7069,0.4581,0.38616,0.18511,1.74102,1.55311,0.0396,0.0010496,0.0010496,0.0010496
50,338.382,1.4029,1.42918,0.02201,0.65563,0.55307,0.47523,0.22513,1.83539,1.42579,0.0443,0.0010298,0.0010298,0.0010298
51,343.486,1.45626,1.44633,0.02276,0.65686,0.3743,0.31294,0.14969,1.88262,1.72753,0.0414,0.00101,0.00101,0.00101
52,348.731,1.42991,1.56131,0.02258,0.80909,0.49721,0.4564,0.21211,1.73748,1.53321,0.04003,0.0009902,0.0009902,0.0009902
53,353.765,1.39317,1.47366,0.02156,0.66165,0.49162,0.41518,0.1971,1.73203,1.8579,0.03907,0.0009704,0.0009704,0.0009704
54,358.778,1.41561,1.50739,0.02183,0.72388,0.5419,0.44266,0.17761,1.874,1.56946,0.0463,0.0009506,0.0009506,0.0009506
55,363.851,1.37958,1.46149,0.02112,0.72222,0.50838,0.47685,0.23669,1.76399,1.63969,0.0394,0.0009308,0.0009308,0.0009308
56,368.861,1.41388,1.43326,0.02173,0.78571,0.55307,0.51133,0.27158,1.73945,1.43122,0.03958,0.000911,0.000911,0.000911
57,374.211,1.39101,1.4609,0.02106,0.72034,0.47486,0.41567,0.21733,1.72314,1.47333,0.03838,0.0008912,0.0008912,0.0008912
58,379.441,1.34482,1.4414,0.02119,0.7907,0.56983,0.51712,0.26013,1.63183,1.43555,0.03622,0.0008714,0.0008714,0.0008714
59,384.461,1.37272,1.43369,0.02177,0.71034,0.57542,0.51965,0.2525,1.71209,1.31135,0.03757,0.0008516,0.0008516,0.0008516
60,389.486,1.35471,1.42978,0.02124,0.72222,0.43575,0.37827,0.16233,1.79737,1.47316,0.04142,0.0008318,0.0008318,0.0008318
61,394.544,1.38001,1.40806,0.0215,0.72464,0.55866,0.51365,0.23873,1.73618,1.39363,0.03926,0.000812,0.000812,0.000812
62,399.671,1.32511,1.32515,0.02055,0.69739,0.67598,0.61577,0.29096,1.68193,1.38552,0.0366,0.0007922,0.0007922,0.0007922
63,405.232,1.34416,1.38469,0.0211,0.69178,0.56425,0.50485,0.25935,1.64621,1.40552,0.0357,0.0007724,0.0007724,0.0007724
64,410.364,1.34366,1.2899,0.0206,0.76812,0.59218,0.54609,0.27044,1.67198,1.32149,0.03651,0.0007526,0.0007526,0.0007526
65,415.43,1.36716,1.4087,0.02318,0.71711,0.60894,0.52898,0.26563,1.75175,1.32355,0.04092,0.0007328,0.0007328,0.0007328
66,420.518,1.34155,1.32979,0.02134,0.75735,0.57542,0.51245,0.24343,1.70101,1.44667,0.03968,0.000713,0.000713,0.000713
67,425.563,1.32871,1.33546,0.0196,0.75152,0.69274,0.62017,0.29527,1.72925,1.33398,0.03996,0.0006932,0.0006932,0.0006932
68,430.886,1.35791,1.27982,0.02132,0.75362,0.58101,0.52295,0.24205,1.68274,1.44969,0.03793,0.0006734,0.0006734,0.0006734
69,436.115,1.30623,1.24006,0.02065,0.78448,0.50838,0.45597,0.23407,1.66686,1.45185,0.03668,0.0006536,0.0006536,0.0006536
70,441.242,1.32838,1.28439,0.02094,0.7044,0.6257,0.55255,0.27155,1.65443,1.4304,0.03646,0.0006338,0.0006338,0.0006338
71,446.352,1.27966,1.34006,0.01897,0.73759,0.58101,0.54728,0.26267,1.79596,1.395,0.04077,0.000614,0.000614,0.000614
72,451.426,1.29814,1.18186,0.02128,0.6962,0.61453,0.55986,0.28484,1.72506,1.31493,0.03698,0.0005942,0.0005942,0.0005942
73,456.501,1.3129,1.25059,0.01998,0.6478,0.57542,0.50885,0.25938,1.79586,1.3489,0.03994,0.0005744,0.0005744,0.0005744
74,461.757,1.32937,1.2527,0.02031,0.71631,0.56425,0.50575,0.24906,1.75203,1.47676,0.03958,0.0005546,0.0005546,0.0005546
75,466.796,1.31132,1.24835,0.02072,0.72571,0.7095,0.6264,0.31498,1.68081,1.25161,0.03781,0.0005348,0.0005348,0.0005348
76,472.15,1.30906,1.2371,0.01985,0.71341,0.65363,0.58294,0.30211,1.66255,1.35667,0.03604,0.000515,0.000515,0.000515
77,477.285,1.27457,1.2286,0.01923,0.7097,0.57542,0.51944,0.23832,1.82364,1.43596,0.04168,0.0004952,0.0004952,0.0004952
78,482.35,1.31955,1.21849,0.02001,0.73837,0.7095,0.64191,0.31273,1.722,1.17434,0.03743,0.0004754,0.0004754,0.0004754
79,487.459,1.2798,1.1814,0.01941,0.72848,0.61453,0.55746,0.27075,1.70782,1.27015,0.03666,0.0004556,0.0004556,0.0004556
80,492.758,1.26194,1.16423,0.01878,0.72653,0.61453,0.57694,0.2929,1.77865,1.34336,0.03939,0.0004358,0.0004358,0.0004358
81,497.818,1.25436,1.21264,0.01852,0.72732,0.59218,0.5624,0.30828,1.6724,1.36989,0.03585,0.000416,0.000416,0.000416
82,502.903,1.25347,1.0994,0.01898,0.68212,0.57542,0.51689,0.27088,1.77299,1.36999,0.03963,0.0003962,0.0003962,0.0003962
83,508.01,1.26783,1.10982,0.01937,0.75508,0.61453,0.57812,0.28642,1.73881,1.31618,0.03847,0.0003764,0.0003764,0.0003764
84,513.144,1.26942,1.17188,0.01897,0.75982,0.64804,0.63093,0.33076,1.69974,1.26569,0.03764,0.0003566,0.0003566,0.0003566
85,518.581,1.33635,1.16714,0.01944,0.72274,0.61164,0.57014,0.30179,1.73503,1.30314,0.03735,0.0003368,0.0003368,0.0003368
86,523.722,1.26363,1.11344,0.01921,0.74699,0.69274,0.62452,0.32648,1.64637,1.17835,0.03584,0.000317,0.000317,0.000317
87,528.807,1.24092,1.08032,0.01852,0.66463,0.60894,0.52325,0.2825,1.68805,1.35028,0.03711,0.0002972,0.0002972,0.0002972
88,533.896,1.21982,1.14409,0.01894,0.72184,0.67039,0.6236,0.33465,1.7049,1.21993,0.03749,0.0002774,0.0002774,0.0002774
89,539.14,1.2431,1.15038,0.01959,0.72276,0.63128,0.58582,0.31668,1.70551,1.25804,0.03754,0.0002576,0.0002576,0.0002576
90,544.241,1.22271,1.164,0.01885,0.7076,0.67598,0.60308,0.31848,1.70001,1.21811,0.03737,0.0002378,0.0002378,0.0002378
