epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,228.964,1.46133,1.60935,0.02306,0.78873,0.31285,0.29355,0.13363,1.89678,1.69205,0.04389,0.0015743,0.0015743,0.0015743
45,234.152,1.50168,1.66149,0.02307,0.78667,0.32961,0.30298,0.15003,1.71312,1.53853,0.04066,0.0015644,0.0015644,0.0015644
46,239.359,1.45526,1.66767,0.02405,0.71667,0.24022,0.20457,0.10639,1.70859,1.71185,0.04055,0.0015545,0.0015545,0.0015545
47,244.487,1.48977,1.59819,0.02385,0.80952,0.28492,0.26416,0.13702,1.75058,1.76069,0.03986,0.0015446,0.0015446,0.0015446
48,249.636,1.47126,1.47943,0.02371,0.78313,0.36313,0.3368,0.14838,1.83404,1.57582,0.04027,0.0015347,0.0015347,0.0015347
49,254.911,1.46863,1.63249,0.02243,0.88095,0.2067,0.20342,0.10836,1.7435,1.71191,0.03874,0.0015248,0.0015248,0.0015248
50,260.062,1.50836,1.58641,0.02373,0.78873,0.31285,0.28248,0.13271,1.84213,1.59626,0.04602,0.0015149,0.0015149,0.0015149
51,265.179,1.54082,1.57591,0.02473,0.87805,0.20112,0.20235,0.11044,1.81064,1.57308,0.04104,0.001505,0.001505,0.001505
52,270.32,1.51676,1.66628,0.02309,0.86441,0.28492,0.27149,0.12063,1.81467,1.49566,0.04175,0.0014951,0.0014951,0.0014951
53,275.444,1.46201,1.64791,0.02371,0.78261,0.30168,0.2926,0.16367,1.68413,1.39888,0.03655,0.0014852,0.0014852,0.0014852
54,280.804,1.48293,1.54756,0.02414,0.83333,0.30726,0.292,0.16312,1.77349,1.60072,0.04072,0.0014753,0.0014753,0.0014753
55,285.931,1.41721,1.62963,0.02282,0.88889,0.31285,0.30198,0.15072,1.79268,1.67684,0.04019,0.0014654,0.0014654,0.0014654
56,291.091,1.46604,1.52091,0.02287,0.81333,0.34078,0.31029,0.13077,1.91954,1.83035,0.0449,0.0014555,0.0014555,0.0014555
57,296.21,1.47526,1.51438,0.02336,0.85185,0.25698,0.23951,0.12384,1.8149,1.66284,0.04103,0.0014456,0.0014456,0.0014456
58,301.347,1.45181,1.55459,0.02269,1,0.17877,0.175,0.098,1.74065,1.81022,0.0378,0.0014357,0.0014357,0.0014357
59,306.47,1.45951,1.51781,0.02238,0.90909,0.22346,0.21808,0.12017,1.83489,1.56171,0.04153,0.0014258,0.0014258,0.0014258
60,311.766,1.45529,1.50287,0.02294,0.84848,0.31285,0.29957,0.1511,1.88461,1.5415,0.04181,0.0014159,0.0014159,0.0014159
61,316.883,1.46586,1.51087,0.02364,0.84,0.23464,0.22209,0.12972,1.73462,1.52839,0.03787,0.001406,0.001406,0.001406
62,322.029,1.43979,1.5138,0.02216,0.82456,0.26257,0.24796,0.12553,1.75365,1.94997,0.03921,0.0013961,0.0013961,0.0013961
63,327.148,1.47708,1.4739,0.02292,0.86957,0.22346,0.22093,0.11004,1.79542,1.79545,0.04024,0.0013862,0.0013862,0.0013862
64,332.295,1.42024,1.59378,0.02132,0.74667,0.31285,0.2839,0.1366,1.91957,1.68901,0.04351,0.0013763,0.0013763,0.0013763
65,337.572,1.40295,1.52869,0.02159,0.83019,0.24581,0.22797,0.12803,1.72065,1.5957,0.03764,0.0013664,0.0013664,0.0013664
66,342.721,1.40904,1.54912,0.02193,0.84615,0.24581,0.23619,0.13411,1.78284,1.56358,0.03982,0.0013565,0.0013565,0.0013565
67,347.846,1.49349,1.54539,0.02277,0.85,0.28492,0.2599,0.12217,1.78591,1.55691,0.03898,0.0013466,0.0013466,0.0013466
68,352.991,1.43253,1.51225,0.02245,0.90625,0.32402,0.31139,0.15127,1.78711,1.50984,0.03828,0.0013367,0.0013367,0.0013367
