model,mean_accuracy,std_accuracy,mean_f1,std_f1
resnet18,0.9900000000000001,0.005773502691896263,0.9900028098193608,0.005771910783606316
resnet50,0.9905555555555555,0.002545875386086576,0.9905571028395057,0.002544802477938726
vgg16,0.8127777777777778,0.23343053530936098,0.7592630867734679,0.3256497445033115
logistic,0.6655555555555556,0.010046189622236185,0.6623029773672962,0.011278509388694598
mobilenetv2,0.9894444444444446,0.002545875386086576,0.9894429900530589,0.002550662788476371
densenet121,0.9922222222222222,0.002545875386086576,0.9922209953931241,0.0025477899666536165
shufflenetv2,0.9955555555555554,0.002545875386086576,0.9955558600061621,0.0025449726934959655
