epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,290.327,1.49335,1.60769,0.02454,0.67494,0.64246,0.54504,0.25208,1.71376,1.65436,0.03764,0.0011684,0.0011684,0.0011684
44,295.421,1.48616,1.53532,0.02356,0.61491,0.55307,0.47474,0.19662,1.84362,1.78925,0.04133,0.0011486,0.0011486,0.0011486
45,300.354,1.46898,1.52204,0.02326,0.57673,0.54047,0.50977,0.22258,1.792,1.68212,0.04173,0.0011288,0.0011288,0.0011288
46,305.453,1.4376,1.52228,0.02203,0.62424,0.57542,0.49257,0.22887,1.78373,1.67655,0.03895,0.001109,0.001109,0.001109
47,310.394,1.46192,1.53154,0.02239,0.5658,0.62608,0.52893,0.25775,1.74098,1.64687,0.03838,0.0010892,0.0010892,0.0010892
48,315.607,1.41605,1.48932,0.02303,0.61635,0.54749,0.4476,0.18835,1.82019,1.61651,0.0421,0.0010694,0.0010694,0.0010694
49,320.558,1.45018,1.53208,0.02355,0.58824,0.61453,0.49451,0.23508,1.83476,1.62144,0.04368,0.0010496,0.0010496,0.0010496
50,325.464,1.41149,1.44302,0.02193,0.67906,0.60335,0.52741,0.24524,1.74603,1.49652,0.03973,0.0010298,0.0010298,0.0010298
51,330.407,1.44363,1.45021,0.02274,0.71967,0.55307,0.50574,0.23277,1.67753,1.5838,0.03654,0.00101,0.00101,0.00101
52,335.526,1.43072,1.53725,0.02205,0.64815,0.58659,0.48311,0.22437,1.70962,1.56707,0.03964,0.0009902,0.0009902,0.0009902
53,340.451,1.38734,1.46139,0.02112,0.6236,0.56425,0.51837,0.24973,1.76496,1.58824,0.0404,0.0009704,0.0009704,0.0009704
54,345.405,1.44852,1.50243,0.02223,0.5817,0.49721,0.36709,0.15123,1.79186,1.67092,0.0404,0.0009506,0.0009506,0.0009506
55,350.411,1.38661,1.46653,0.02157,0.56219,0.63128,0.51966,0.23022,1.77512,1.65583,0.04029,0.0009308,0.0009308,0.0009308
56,355.293,1.39251,1.46275,0.02152,0.67665,0.63128,0.54859,0.25861,1.72683,1.50981,0.03934,0.000911,0.000911,0.000911
57,360.402,1.37864,1.44164,0.02061,0.57471,0.55866,0.45291,0.19603,1.78423,1.61456,0.04054,0.0008912,0.0008912,0.0008912
58,365.589,1.35978,1.40752,0.02097,0.67365,0.59218,0.54397,0.24546,1.71816,1.46273,0.03852,0.0008714,0.0008714,0.0008714
59,370.526,1.39889,1.3983,0.02194,0.64325,0.71508,0.62296,0.30395,1.71893,1.41149,0.03936,0.0008516,0.0008516,0.0008516
60,375.662,1.35749,1.35938,0.02181,0.63068,0.62011,0.51024,0.25039,1.67738,1.49171,0.03646,0.0008318,0.0008318,0.0008318
61,380.592,1.40146,1.39616,0.02179,0.63235,0.65341,0.54779,0.26188,1.68026,1.44596,0.03691,0.000812,0.000812,0.000812
62,385.515,1.33492,1.37322,0.02077,0.67493,0.63687,0.5991,0.28847,1.73464,1.39666,0.03777,0.0007922,0.0007922,0.0007922
63,390.43,1.34682,1.35942,0.02138,0.64463,0.58101,0.53072,0.23563,1.83725,1.57782,0.04045,0.0007724,0.0007724,0.0007724
64,395.612,1.38553,1.28154,0.02109,0.70622,0.56983,0.53638,0.25278,1.74456,1.53435,0.03726,0.0007526,0.0007526,0.0007526
65,400.562,1.3584,1.41329,0.02285,0.6778,0.61453,0.56588,0.26958,1.76594,1.40441,0.03832,0.0007328,0.0007328,0.0007328
66,405.491,1.27034,1.33588,0.01984,0.66102,0.65363,0.56891,0.25769,1.78155,1.48441,0.04066,0.000713,0.000713,0.000713
67,410.421,1.34938,1.38191,0.01987,0.62944,0.69274,0.56759,0.25512,1.73639,1.44099,0.03909,0.0006932,0.0006932,0.0006932
68,415.346,1.33955,1.30584,0.02127,0.6599,0.72626,0.63544,0.31153,1.68385,1.34454,0.03716,0.0006734,0.0006734,0.0006734
69,420.692,1.31416,1.27987,0.02084,0.76025,0.59777,0.57601,0.28552,1.7062,1.36954,0.03773,0.0006536,0.0006536,0.0006536
70,425.627,1.35435,1.28366,0.0214,0.75809,0.63687,0.61685,0.30771,1.70458,1.35753,0.03734,0.0006338,0.0006338,0.0006338
71,430.58,1.29372,1.31137,0.01867,0.75911,0.60335,0.61083,0.29739,1.79731,1.31046,0.04033,0.000614,0.000614,0.000614
72,435.454,1.28215,1.1875,0.02062,0.69244,0.64146,0.60784,0.30567,1.70916,1.40619,0.03676,0.0005942,0.0005942,0.0005942
73,440.357,1.32226,1.28247,0.02024,0.67614,0.6648,0.59003,0.28657,1.67308,1.41684,0.03733,0.0005744,0.0005744,0.0005744
74,445.421,1.31788,1.29631,0.02045,0.69364,0.67039,0.59678,0.29657,1.66859,1.33891,0.03611,0.0005546,0.0005546,0.0005546
75,450.318,1.27289,1.25935,0.01955,0.6776,0.69274,0.60534,0.30775,1.73629,1.27482,0.03845,0.0005348,0.0005348,0.0005348
76,455.238,1.30056,1.25145,0.01955,0.74297,0.64596,0.65407,0.32085,1.71875,1.31528,0.03835,0.000515,0.000515,0.000515
77,460.425,1.26982,1.19648,0.01883,0.7282,0.64361,0.59528,0.29079,1.77592,1.27021,0.0398,0.0004952,0.0004952,0.0004952
78,465.368,1.3479,1.23957,0.02014,0.7039,0.6648,0.6081,0.29681,1.68457,1.36002,0.03675,0.0004754,0.0004754,0.0004754
79,470.297,1.30119,1.18375,0.01972,0.71373,0.65466,0.6402,0.32726,1.73734,1.27949,0.03818,0.0004556,0.0004556,0.0004556
